ISO,continents,fao_regions,Year,FRA_forest_area_km2,WDI_land_surface_km2,Bonannella_land_surface_km2_6classes,Bonannella_land_surface_km2_20classes
FJI,Oceania,Oceania,2015,12931.5,18270,14776.06086,14776.06086
TZA,Africa,Eastern and Southern Africa,2015,486430.5,885800,863558.6551,863558.6551
ESH,Africa,Northern Africa,2015,6647,,96765.573,96765.573
CAN,North and Central America,North America,2015,3471157.1,8965590,8482600.741,8482600.741
USA,North and Central America,North America,2015,3232390,9147420,8992971.024,8992971.024
KAZ,Asia,Western and Central Asia,2015,33084.6,2699700,2666756.317,2666756.317
UZB,Asia,Western and Central Asia,2015,51480.4,440600,452289.1699,452289.1699
PNG,Oceania,Oceania,2015,360847.7,452860,436479.4449,436479.4449
IDN,Asia,South and Southeast Asia,2015,996963,1877519,1699987.839,1699987.839
ARG,South America,South America,2015,303820,2736690,2724248.971,2724248.971
CHL,South America,South America,2015,206418.5,743532,684466.5055,684466.5055
COD,Africa,Western and Central Africa,2015,1317198,2267050,2283377.507,2283377.507
SOM,Africa,Eastern and Southern Africa,2015,63667.5,627340,471498.3299,471498.3299
KEN,Africa,Eastern and Southern Africa,2015,36752,569140,577378.3351,577378.3351
SDN,Africa,Northern Africa,2015,193399.3,1868000,1845722.901,1845722.901
TCD,Africa,Western and Central Africa,2015,48903,1259200,1267078.819,1267078.819
HTI,North and Central America,Central America,2015,3948.5,27560,25472.23799,25472.23799
DOM,North and Central America,Central America,2015,21566.8,48310,45661.34254,45661.34254
RUS,Russian Federation,Russian Federation,2015,8149304.6,16376870,16247125.44,16247125.44
BHS,North and Central America,Central America,2015,5098.6,10010,5949.88897,5949.88897
FLK,South America,South America,2015,0,,10196.54937,10196.54937
NOR,Europe,Europe,2015,122490,365190.7,301546.5946,301546.5946
GRL,North and Central America,North America,2015,4.4,410450,328211.5491,328211.5491
ATF,Europe,Europe,,,,0,0
TLS,Asia,South and Southeast Asia,2015,9281,14870,13334.40831,13334.40831
ZAF,Africa,Eastern and Southern Africa,2015,185020.9,1213090,1205484.161,1205484.161
LSO,Africa,Eastern and Southern Africa,2015,398.4,30360,27441.95811,27441.95811
MEX,North and Central America,Central America,2015,664063.8,1943950,1919671.32,1919671.32
URY,South America,South America,2015,29910,175020,173154.1983,173154.1983
BRA,South America,South America,2015,5138226,8358140,8343634.003,8343634.003
BOL,South America,South America,2015,520641.6,1083300,1071489.824,1071489.824
PER,South America,South America,2015,742517,1280000,1274447.187,1274447.187
COL,South America,South America,2015,605586.6,1109500,1131262.228,1131262.228
PAN,North and Central America,Central America,2015,43322.9,74120,70584.79754,70584.79754
CRI,North and Central America,Central America,2015,30296.3,51060,50789.28591,50789.28591
NIC,North and Central America,Central America,2015,39486.4,120340,117387.2435,117387.2435
HND,North and Central America,Central America,2015,64638.3,111890,110875.2294,110875.2294
SLV,North and Central America,Central America,2015,6227.1,20720,20038.12778,20038.12778
GTM,North and Central America,Central America,2015,36816.1,107160,108028.4397,108028.4397
BLZ,North and Central America,Central America,2015,13351.6,22810,21130.07601,21130.07601
VEN,South America,South America,2015,479177.7,882050,886788.3614,886788.3614
GUY,South America,South America,2015,184613.6,196850,208634.0891,208634.0891
SUR,South America,South America,2015,152646.7,156000,141919.2123,141919.2123
FRA,Europe,Europe,2015,168360,547557,623873.912,623873.912
ECU,South America,South America,2015,129460.6,248360,245389.5581,245389.5581
PRI,North and Central America,Central America,2015,4938.8,8870,8375.348252,8375.348252
JAM,North and Central America,Central America,2015,5858,10830,10691.2616,10691.2616
CUB,North and Central America,Central America,2015,37120,104100,102412.104,102412.104
ZWE,Africa,Eastern and Southern Africa,2015,177829.3,386850,371593.8447,371593.8447
BWA,Africa,Eastern and Southern Africa,2015,158462,566730,591573.6621,591573.6621
NAM,Africa,Western and Central Africa,2015,69939.5,823290,813888.7039,813888.7039
SEN,Africa,Western and Central Africa,2015,83001.6,192530,187062.6694,187062.6694
MLI,Africa,Western and Central Africa,2015,132960,1220190,1230807.529,1230807.529
MRT,Africa,Northern Africa,2015,3400.4,1030700,1047710.282,1047710.282
BEN,Africa,Western and Central Africa,2015,34071.5,112760,115195.9738,115195.9738
NER,Africa,Western and Central Africa,2015,12518,1266700,1180209.246,1180209.246
NGA,Africa,Western and Central Africa,2015,226678.8,910770,887663.6755,887663.6755
CMR,Africa,Western and Central Africa,2015,206715.8,472710,451437.7312,451437.7312
TGO,Africa,Western and Central Africa,2015,12672.8,54390,59259.43352,59259.43352
